measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2001,87348.80846964761,151707.01645448068,40116.774299361685
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2001,103525.30230750318,179266.39999087463,48463.79273568936
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2001,12189.051904989026,19498.51586519682,6173.3415229039665
Deaths,Latin America & Caribbean - WB,Both,Under 5,Malaria,Number,2005,463.459875098996,849.4108429934662,177.83194625008167
Deaths,Latin America & Caribbean - WB,Both,5-14 years,Malaria,Number,2005,295.29023539464544,526.7509708209765,119.83540391764294
Deaths,Latin America & Caribbean - WB,Both,15-49 years,Malaria,Number,2005,1215.285146919795,2253.634748567608,505.0789561719806
Deaths,Latin America & Caribbean - WB,Both,50 to 74 years,Malaria,Number,2005,449.9862629694775,842.3853440284249,181.8554484212242
Deaths,Latin America & Caribbean - WB,Both,75 plus,Malaria,Number,2005,37.51332612913628,70.51844256329254,15.932154326761946
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2005,31377.76058488007,52887.848252658296,17136.684901030687
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2005,25677.496700216645,41751.13028670857,15129.77806876302
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2005,14730.111201237503,25855.63053775802,7976.290705449967
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2005,9681.087099740658,17427.394241366903,5176.965443616937
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2005,1010.7581219792698,1818.2946667086226,533.7494320412131
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2008,4208.147228664519,8264.093024056821,1672.9324182529092
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2008,1821.7103221565287,3401.664510526484,744.1785673126999
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2008,8753.718307169645,16582.916337551498,3748.719602887143
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2008,5294.619173323294,10677.19760446666,2152.8781752995883
