Gene,logFC,FDR
2210415F13Rik,1.653433745,0.0960734
2210417A02Rik,0.563908956,0.738807
2210418O10Rik,0.01150842,0.991049
2300002M23Rik,8.993334704,0.000670633
2300003K06Rik,0,1
2300005B03Rik,-1.994412803,0.163866
2300009A05Rik,0.197554484,0.810716
2310001A20Rik,-0.099350637,0.782824
2310001K24Rik,-0.721933813,0.865011
2310002J15Rik,7.592290135,0.0360927
2310002L09Rik,-2.954913026,0.501819
2310002L13Rik,7.049489192,0.000670633
2310003C23Rik,0.234581021,0.501422
2310003F16Rik,0.194650404,0.645398
2310003H01Rik,0.674407742,0.0466803
2310003L22Rik,0.208413817,0.728437
2310004I24Rik,-0.23381727,0.589071
2310004N24Rik,0.210739713,0.872984
2310005E10Rik,-1.090683365,0.77131
2310005G13Rik,-0.408324566,1
2310005N01Rik,-0.105141429,0.95729
2310007B03Rik,0.60586374,0.0301194
2310007F21Rik,-3.48346587,0.693895
2310007L24Rik,0.160275081,0.876709
2310008H04Rik,-0.027061839,0.975916
2310008H09Rik,0.569595809,0.0583459
2310009B15Rik,0.234849726,0.779541
2310010M20Rik,-2.481182674,1
2310011J03Rik,-0.131661765,0.783787
2310014H01Rik,-0.048638599,0.914414
2310014L17Rik,1.655439773,0.000670633
2310015A10Rik,-0.501483272,0.330871
2310016C08Rik,-0.381143827,0.278746
2310016M24Rik,0.18667326,0.677857
2310021H06Rik,3.831421261,0.0940423
2310021P13Rik,-0.05536,0.893749
2310022A10Rik,0.064442149,0.9111
2310022B05Rik,-0.692890999,0.0261941
2310022K01Rik,0.221167772,1
2310028H24Rik,-0.90459672,0.0161091
2310028O11Rik,-0.014290163,0.978423
2310030G06Rik,0.069197893,0.909044
2310030N02Rik,-0.367432182,0.59205
2310033E01Rik,7.188914713,0.341367
2310033P09Rik,-0.400355146,0.436493
2310034C09Rik,0,1
2310035C23Rik,0.520714767,0.072633
2310035K24Rik,0.315883025,0.523192
2310036O22Rik,0.332037281,0.326718
2310037I24Rik,0.091762256,0.862748
2310039D24Rik,2.984954323,0.0116745
2310039H08Rik,0.042868411,0.964974
2310042D19Rik,1.230226518,0.00225688
2310042E22Rik,7.12115896,0.338466
2310043J07Rik,5.648571858,0.000670633
2310044G17Rik,-0.205909192,0.530049
2310044H10Rik,0.206678939,0.506891
2310045N01Rik,0.040995878,0.955431
2310046A06Rik,-3.38001446,0.411133
2310046K01Rik,-0.474372352,0.188202
2310046O06Rik,-0.827124816,0.376398
2310047B19Rik,-0.109227846,0.851187
2310047M10Rik,0.055020427,0.930273
2310050B05Rik,-4.458806522,0.274639
2310050C09Rik,0,1
2310057J16Rik,0.388562521,0.363847
2310057J18Rik,0,1
2310057M21Rik,0.131310714,0.828533
2310057N15Rik,0,1
