Gene,FDR,FC
Akr1b8,0.000300322,5.780226848
Akr1b8,0.00037259,5.741576109
Akr1b8,0.000734469,5.693108768
Akr1b8,0.000598373,5.577634788
Akr1b8,0.000538713,5.570370999
Akr1b8,0.00065125,5.563763619
Akr1b8,0.000832888,5.558494288
Akr1b8,0.001002084,5.527425588
Akr1c14,0.000933314,0.057132512
Akr1c18,0.002907387,82.55807488
Akt3,5.60E-05,0.284588966
Alas2,0.009718606,0.114301933
Aldh18a1,0.002423668,2.753742171
Aldh1a1,0.001279225,0.292363547
Aldh1a3,0.00421356,27.31179082
Aldh1l2,0.000667744,4.891716548
Aldh2,0.002140028,0.284265324
Aldh3b1,0.011426561,0.38502728
Aldh3b2,0.008984041,7.531474543
Aldh5a1,1.45E-05,3.760724518
Aldh6a1,0.024188496,0.483438713
Aldoc,0.001245753,6.178537462
Alpk3,0.00290255,0.29936618
Ambp,0.005139934,3.600276645
Amd2,0.001778204,3.023734315
Amd2,0.004417687,2.113595414
Amigo1,0.005745168,0.391615326
Amigo2,0.001574629,0.163930191
Amigo3,0.00180008,2.841516023
Ammecr1,0.004501059,3.981086699
Amn,0.018052222,1.754782966
Amotl2,0.000743058,0.329233975
Amph,0.000129301,0.024979545
Amy1,0.002590238,0.264924535
Ang3,0.393154235,0.675894599
Ang4,0.330761311,0.63340932
Angpt1,4.97E-06,0.066682318
Angptl2,0.003920081,0.244108816
Ank3,0.002009074,0.371362229
Ank3,0.001415241,0.445131619
Ankk1,4.18E-05,60.93078959
Ankle1,0.259094547,2.016976463
Ankrd1,0.00764613,0.22697856
Ankrd12,0.072735019,0.513892515
Ankrd22,0.006609031,22.27018102
Ankrd29,0.000583431,0.163633053
Ankrd29,0.001870823,0.170367062
Ankrd33b,3.95E-07,0.118220453
Ankrd33b,7.83E-05,0.163021827
Ankrd34b,0.021898566,5.507822839
Ankrd35,0.001105102,11.88951842
Ankrd37,0.003378163,8.907191878
Ankrd40,0.000177224,0.322233126
Ankrd44,0.000260392,0.156619647
Ankrd5,0.002419482,0.472324305
Ankrd52,0.015116359,2.493690649
Ankrd56,0.000358802,6.372611409
Ankrd56,0.003123041,2.183750812
Anks1,0.005549437,0.452591192
Anks1,0.031906715,0.530612781
Anks6,0.000172851,3.576856139
Anln,0.052330456,2.524060393
Ano9,0.000285425,7.68683575
Antxr1,0.001641339,0.433530692
Antxr2,0.003113788,0.221628955
Anxa1,0.000411486,7.951811979
Anxa1,0.000879371,4.873087409
Anxa10,0.017647163,14.2883919
