SPRING-x	SPRING-y	Annotation
621.912	-873.82	Neutrophil
-1025.382	-886.896	Baso
2107.349	-2111.768	Neutrophil
2405.318	-1948.024	Neutrophil
2835.551	14.932	Monocyte
2646.142	-1679.146	Neutrophil
407.567	383.805	Undifferentiated
-955.878	284.794	Undifferentiated
652.026	-947.864	Neutrophil
-616.835	-301.118	Undifferentiated
-598.599	-220.087	Undifferentiated
191.238	275.239	Undifferentiated
1053.01	-1967.324	Neutrophil
-846.657	-530.0	Undifferentiated
888.119	-1869.761	Neutrophil
238.964	186.254	Undifferentiated
-1827.158	-924.873	Mast
2966.36	269.239	Monocyte
2694.283	-107.561	Monocyte
2363.133	-1999.283	Neutrophil
-980.451	-1935.938	Baso
684.913	-487.611	Undifferentiated
590.41	-1334.499	Neutrophil
1722.254	-2175.606	Neutrophil
508.884	-903.3	Undifferentiated
544.715	-423.561	Undifferentiated
2423.226	-394.471	Monocyte
-1851.925	-951.956	Mast
2783.3	200.611	Monocyte
2520.687	-770.81	Undifferentiated
2360.906	-2018.119	Neutrophil
2485.951	-815.377	Undifferentiated
2557.895	-1910.838	Neutrophil
2772.917	-1383.982	Neutrophil
2610.158	-582.639	Undifferentiated
-1895.675	1067.23	Meg
603.057	-233.981	Undifferentiated
637.652	-929.349	Neutrophil
-1654.261	-831.073	Mast
808.827	104.735	Undifferentiated
2719.967	-63.045	Monocyte
2501.549	-223.712	Monocyte
-1856.372	-958.28	Mast
1721.466	-219.221	Monocyte
-999.745	-1044.018	Baso
2304.463	-2051.338	Neutrophil
2237.232	-2093.004	Neutrophil
2436.539	-1024.685	Undifferentiated
2348.116	-2015.714	Neutrophil
1013.246	-176.78	Undifferentiated
483.354	-198.638	Undifferentiated
136.093	171.689	Undifferentiated
-1760.167	-890.924	Mast
615.041	-717.615	Undifferentiated
965.303	-1926.306	Neutrophil
1621.629	-475.35	Monocyte
2698.05	214.898	Monocyte
620.474	-798.451	Undifferentiated
919.936	-1895.37	Neutrophil
-959.127	-1746.313	Baso
-1095.469	-1799.445	Baso
581.041	-433.74	Undifferentiated
-1875.141	753.523	Meg
1513.447	-322.227	Monocyte
2076.997	-282.099	Monocyte
2721.891	-61.428	Monocyte
198.366	387.518	Undifferentiated
-998.836	282.217	Undifferentiated
213.547	364.825	Undifferentiated
-837.139	-2170.871	Baso
2435.378	-514.225	Undifferentiated
-1056.404	-1292.692	Baso
1523.809	-2143.081	Neutrophil
2416.652	-2002.228	Neutrophil
1928.24	-2113.142	Neutrophil
-862.799	-2016.042	Baso
570.304	-664.308	Undifferentiated
753.668	-1648.421	Neutrophil
894.388	193.037	Undifferentiated
-1764.643	-892.892	Mast
2895.775	198.652	Monocyte
1937.948	-1668.196	Undifferentiated
2966.454	289.438	Monocyte
-1098.335	-1512.988	Baso
2074.576	-2061.572	Neutrophil
743.238	-1550.746	Neutrophil
2655.91	-1911.625	Neutrophil
674.976	-1124.942	Neutrophil
963.786	-1910.844	Neutrophil
2014.814	-380.281	Monocyte
1327.31	-2141.085	Neutrophil
1845.559	-431.389	Monocyte
2938.997	285.102	Monocyte
721.412	-853.176	Undifferentiated
2094.876	-1902.905	Undifferentiated
-1066.724	-1489.296	Baso
2874.964	380.757	Monocyte
-1632.894	-893.398	Mast
-1161.02	491.726	Undifferentiated
1901.766	-2138.786	Neutrophil
1186.908	-241.799	Undifferentiated
620.729	-890.962	Neutrophil
272.158	146.454	Undifferentiated
13.927	639.413	Undifferentiated
-1719.86	-861.221	Mast
651.456	-1275.573	Neutrophil
-607.686	-1247.843	Eos
763.408	-328.851	Undifferentiated
2764.871	-50.968	Monocyte
-1897.517	843.431	Meg
1439.152	457.075	Undifferentiated
2992.282	355.772	Monocyte
777.285	-1672.441	Neutrophil
419.016	-105.392	Undifferentiated
-1034.729	333.106	Undifferentiated
2184.799	-1389.376	Undifferentiated
1607.472	-2200.643	Neutrophil
2502.097	-177.497	Monocyte
2970.989	343.906	Monocyte
-1060.818	-1284.646	Baso
556.078	-831.265	Undifferentiated
2457.74	-1999.188	Neutrophil
2396.976	-1943.193	Neutrophil
-1100.91	-1796.516	Baso
2596.778	-1868.669	Neutrophil
-370.014	251.995	Undifferentiated
603.989	-209.007	Undifferentiated
-964.754	-962.344	Baso
681.987	-988.407	Neutrophil
744.905	-520.423	Undifferentiated
1465.507	-2196.735	Neutrophil
2992.19	305.826	Monocyte
979.22	-1916.985	Neutrophil
2872.214	45.417	Monocyte
-1943.693	835.194	Meg
-491.327	-1755.463	Eos
1077.757	-454.75	Undifferentiated
2536.108	-858.284	Undifferentiated
-1772.668	1255.866	Meg
1629.907	-2208.82	Neutrophil
-1809.654	-940.906	Mast
1702.077	-331.375	Monocyte
544.952	-562.224	Undifferentiated
599.654	-689.925	Undifferentiated
2539.385	-364.844	Monocyte
924.868	-1896.556	Neutrophil
1076.568	-2011.536	Neutrophil
